100000 500 50 10 10
0 6 68 77 96 10
0 9 44 19 52 10
0 10 33 62 73 10
0 11 42 48 22 10
0 11 98 71 88 10
0 20 21 97 72 10
0 20 27 51 65 10
0 20 66 18 84 10
0 22 23 23 26 3
0 28 31 59 99 10
0 33 91 86 46 10
0 38 49 6 7 10
0 50 19 33 93 10
0 51 0 92 38 10
0 62 66 14 6 10
0 66 27 40 54 10
0 68 43 89 8 10
0 79 20 12 7 10
0 88 73 87 87 10
0 92 2 29 18 10
0 94 4 33 66 10
1 3 38 79 97 10
1 11 79 77 72 10
1 12 56 50 50 10
1 16 45 14 10 10
1 22 39 87 26 10
1 23 64 68 1 10
1 24 73 49 19 10
1 27 27 14 20 10
1 28 44 6 92 10
1 28 53 1 58 10
1 30 50 88 10 10
1 30 75 85 63 10
1 37 88 50 10 10
1 54 95 94 79 10
1 55 45 47 20 10
1 58 91 72 74 10
1 62 47 52 5 10
1 66 7 70 67 10
1 73 80 26 76 10
1 78 22 99 91 10
1 78 87 16 12 10
1 82 4 66 83 10
1 82 5 73 5 8
1 84 41 15 11 10
1 85 5 71 91 10
1 85 70 56 47 10
1 90 86 55 95 10
1 98 21 0 89 10
2 14 80 49 65 10
2 18 34 63 72 10
2 20 69 58 80 10
2 20 81 67 49 10
2 32 71 63 60 10
2 34 41 72 59 10
2 37 6 56 57 10
2 38 24 43 88 10
2 48 93 90 98 10
2 56 1 16 91 10
2 57 76 70 76 10
2 60 64 38 32 10
2 67 2 41 52 10
2 69 2 40 22 10
2 80 28 96 24 10
2 83 77 25 82 10
2 84 7 79 85 10
2 85 26 62 16 10
2 92 79 31 31 10
2 93 33 63 98 10
2 96 8 62 36 10
2 98 83 55 25 10
3 3 52 8 75 10
3 6 34 52 23 10
3 9 27 62 43 10
3 12 3 79 98 10
3 17 37 43 78 10
3 17 45 8 21 10
3 23 42 26 82 10
3 37 56 61 99 10
3 41 47 69 96 10
3 48 54 52 42 10
3 53 9 47 46 10
3 53 52 80 43 10
3 63 63 55 64 8
3 81 38 89 70 10
3 85 52 45 13 10
3 88 24 76 65 10
3 89 40 82 69 10
3 90 63 71 96 10
3 94 84 76 87 10
3 95 75 0 98 10
3 95 87 81 71 10
4 1 36 16 23 10
4 9 19 58 46 10
4 11 23 22 94 10
4 15 42 24 98 10
4 29 58 1 39 10
4 33 44 78 50 10
4 37 73 10 42 10
4 45 67 28 12 10
4 51 28 7 63 10
4 51 31 10 42 10
4 52 53 6 1 10
4 56 70 79 55 10
4 57 26 66 25 9
4 60 15 47 10 10
4 66 3 53 18 10
4 71 20 37 52 10
4 73 5 67 36 10
4 81 67 8 54 10
4 91 16 2 63 10
4 92 17 63 95 10
4 96 50 43 25 10
4 96 61 49 86 10
4 98 78 57 60 10
5 0 49 98 10 10
5 0 54 71 18 10
5 12 95 31 22 10
5 15 8 8 13 10
5 18 93 27 10 10
5 23 85 27 20 10
5 33 54 36 68 10
5 35 12 50 48 10
5 51 64 62 99 10
5 54 39 39 25 10
5 62 5 94 94 10
5 68 13 74 57 10
5 70 27 3 22 10
5 78 63 33 36 10
5 87 0 50 83 10
5 88 59 81 74 10
5 88 76 63 71 10
5 91 65 64 62 10
5 94 88 2 95 10
5 96 25 9 5 10
5 98 74 96 41 10
5 99 54 49 33 10
6 2 39 6 50 10
6 8 95 49 16 10
6 9 46 28 2 10
6 27 15 45 60 10
6 27 85 25 87 3
6 30 48 79 28 10
6 32 62 55 33 10
6 34 50 20 13 10
6 35 82 97 69 10
6 39 98 97 68 10
6 52 16 82 46 10
6 56 56 33 95 10
6 61 26 67 20 10
6 64 27 69 88 10
6 66 15 13 86 10
6 76 61 80 18 10
6 77 85 16 94 10
6 91 45 82 86 10
6 92 19 38 75 10
6 94 0 27 78 10
7 7 43 89 50 10
7 8 29 68 83 10
7 13 30 74 39 10
7 27 45 60 96 10
7 28 51 66 55 10
7 30 56 66 32 10
7 32 51 80 94 10
7 37 56 89 43 10
7 45 60 16 11 10
7 46 63 15 4 10
7 52 83 7 11 10
7 69 13 60 28 10
7 74 4 83 48 10
7 74 62 65 30 10
7 79 89 25 90 10
7 82 69 85 95 10
7 87 54 86 38 10
7 88 74 93 73 5
7 92 79 55 27 10
7 96 10 33 88 10
7 97 51 28 20 10
8 2 97 59 31 10
8 5 52 59 42 10
8 6 68 70 83 10
8 7 34 60 29 10
8 7 46 71 46 10
8 17 94 56 83 10
8 20 47 56 27 10
8 24 77 98 55 10
8 27 54 67 2 10
8 36 64 95 99 10
8 36 65 33 23 10
8 40 39 42 99 10
8 42 76 53 6 10
8 47 66 2 83 10
8 54 30 78 46 10
8 56 23 49 60 10
8 68 52 6 15 10
8 72 12 34 98 10
8 73 18 72 21 3
8 74 29 65 33 10
8 76 15 67 76 10
8 78 5 26 19 10
8 80 94 48 74 10
8 81 47 74 28 10
8 86 58 23 15 10
8 93 28 58 93 10
8 94 39 67 18 10
8 98 18 54 44 10
8 99 55 3 36 10
9 0 67 49 58 10
9 4 61 89 6 10
9 16 35 23 15 10
9 23 30 7 81 10
9 30 34 19 5 10
9 33 69 49 58 10
9 35 39 72 50 10
9 40 49 58 60 10
9 43 56 23 94 10
9 47 54 59 83 10
9 53 89 6 57 10
9 54 70 37 5 10
9 56 28 7 73 10
9 56 83 70 64 10
9 60 71 76 91 10
9 74 30 56 71 10
9 76 16 96 48 10
9 79 59 40 3 10
9 85 90 72 60 10
9 96 7 85 40 10
9 97 94 58 34 10
10 6 95 82 96 10
10 15 55 12 5 10
10 24 53 50 50 10
10 24 68 26 23 10
10 27 39 73 74 10
10 27 64 68 41 10
10 34 99 36 93 7
10 35 28 3 82 10
10 44 87 60 20 10
10 73 35 4 8 10
10 75 39 63 45 10
10 77 11 70 88 10
10 83 15 72 60 10
10 93 9 60 60 10
10 99 68 35 64 10
11 0 24 18 15 10
11 5 2 76 30 10
11 12 38 59 91 10
11 21 38 81 29 10
11 24 48 31 70 10
11 26 37 77 44 10
11 32 32 88 54 10
11 36 67 39 26 10
11 39 7 38 29 10
11 45 58 45 79 10
11 45 96 16 0 10
11 48 49 45 65 10
11 58 71 23 81 10
