3961 100 0 0 10
0 3 29 11 35 3
0 8 7 18 15 4
0 13 32 32 38 7
0 15 45 10 14 8
0 49 0 39 5 4
0 49 33 24 37 4
1 0 31 36 2 1
2 21 4 41 43 9
2 34 26 34 13 5
2 36 38 40 0 3
2 48 17 21 40 2
3 17 14 40 19 7
3 29 40 39 30 3
3 33 0 7 26 7
3 33 30 37 19 4
3 34 29 45 28 11
3 47 29 12 19 4
3 49 47 48 16 2
4 6 11 11 21 7
4 20 10 18 41 9
4 33 26 32 21 5
4 35 40 49 26 5
4 40 10 46 8 7
4 47 36 37 33 6
5 5 49 28 20 9
5 10 33 14 48 12
5 15 41 21 28 7
5 44 12 34 25 5
5 47 5 39 11 7
6 3 31 0 18 4
6 9 3 19 33 5
6 27 15 4 38 3
6 33 11 28 12 5
6 38 49 40 23 1
7 0 25 39 25 8
7 0 30 35 16 3
7 0 33 41 36 8
7 0 49 17 24 5
7 1 11 22 36 5
7 3 36 40 21 8
7 12 17 47 3 7
7 13 23 21 39 5
7 16 38 17 0 4
7 17 11 34 10 4
7 18 10 15 34 3
7 19 26 21 26 1
7 28 8 28 39 10
7 36 40 8 41 2
7 42 2 19 29 7
8 0 10 12 21 4
8 7 12 5 17 6
8 23 0 38 8 8
8 37 18 5 40 8
8 41 45 1 12 2
8 43 0 21 4 5
9 6 12 45 20 10
9 9 2 48 43 8
9 28 37 44 45 9
9 36 15 39 31 9
9 44 41 19 13 5
9 49 19 32 41 5
10 0 36 46 38 6
10 3 28 42 12 7
10 14 38 29 21 10
10 37 3 20 19 4
10 39 38 48 4 9
10 43 41 31 45 7
10 46 8 40 7 6
10 47 49 8 32 2
10 48 11 42 21 2
10 49 20 13 13 8
11 0 21 25 38 10
11 11 23 41 23 5
11 19 22 40 35 9
11 21 26 15 9 7
11 22 23 13 5 8
11 32 45 43 25 5
11 49 47 11 19 6
12 11 19 39 11 10
12 28 34 6 19 7
12 33 39 49 42 2
12 34 4 35 7 3
12 35 26 30 31 5
13 0 19 20 13 7
13 16 27 30 30 7
13 17 43 2 43 11
13 26 8 14 33 3
14 44 19 1 7 7
14 46 10 26 34 14
14 47 8 21 16 10
15 0 38 43 48 10
15 4 18 44 45 6
15 26 49 12 45 8
15 30 17 5 5 7
15 32 6 23 46 6
15 33 45 8 20 8
15 34 8 20 9 8
15 37 6 11 27 3
16 23 36 5 21 3
16 35 30 22 4 4
16 37 18 41 28 1
17 0 35 39 15 5
17 15 15 22 43 6
17 19 16 34 48 3
17 47 40 25 29 9
18 28 24 49 47 2
18 34 15 44 17 10
18 36 24 46 48 9
18 38 33 15 24 3
19 44 24 39 28 8
20 27 40 19 27 8
20 39 4 13 41 7
21 3 17 32 31 4
21 15 16 42 2 13
21 36 14 23 13 8
21 42 4 42 11 6
21 45 24 10 30 7
22 26 44 37 12 7
22 39 28 17 36 4
22 44 18 10 38 11
22 44 29 49 16 9
23 4 14 11 11 5
24 6 39 45 29 5
24 35 36 7 32 12
25 18 4 31 15 3
25 18 41 46 9 5
25 33 15 37 14 4
25 38 22 17 34 4
25 49 20 11 5 6
26 25 29 23 42 6
26 35 7 2 32 8
27 45 33 37 33 7
28 37 3 45 27 7
28 43 4 4 39 7
29 8 15 36 47 3
29 38 22 1 42 10
29 47 41 29 24 7
30 28 37 19 15 3
31 8 14 13 5 10
31 11 36 18 35 7
31 19 5 37 23 9
31 19 49 11 9 12
31 21 45 19 47 3
31 26 25 4 9 10
31 37 11 1 24 6
32 41 22 35 25 8
32 44 26 33 9 10
32 45 38 28 26 8
33 5 35 45 31 4
33 17 20 8 34 6
33 19 35 42 32 3
33 30 25 19 12 5
33 38 28 30 41 8
33 45 30 12 6 7
34 2 22 9 18 10
34 7 44 44 21 7
34 8 11 28 36 3
34 17 14 32 16 16
34 18 24 41 22 1
35 7 19 36 44 8
35 9 40 21 15 9
35 14 19 17 1 10
35 26 17 5 4 7
35 41 6 9 40 10
36 14 25 23 6 9
36 23 8 29 39 8
36 39 31 13 32 13
36 42 11 41 5 3
37 14 5 4 45 8
37 18 18 8 7 9
37 22 14 8 19 7
37 49 2 39 10 3
38 7 29 23 31 5
38 13 30 42 24 14
38 16 46 39 8 10
38 18 6 12 10 6
38 43 41 23 14 7
38 44 21 17 28 2
38 46 10 49 11 3
39 33 43 15 14 6
39 35 10 31 42 7
39 35 33 1 28 8
40 20 38 8 18 4
40 47 7 47 32 7
41 12 31 42 32 15
41 18 38 25 36 3
41 22 49 17 37 6
41 35 11 23 16 8
41 37 18 49 20 6
41 49 42 5 18 12
42 17 24 34 39 6
42 20 20 43 3 6
42 21 33 17 29 7
42 48 49 1 31 4
43 0 6 18 26 3
43 1 17 35 14 7
43 10 11 4 48 9
43 30 48 22 29 4
43 39 31 33 4 5
44 18 46 42 7 7
44 23 41 24 42 1
44 24 43 24 44 0
44 40 42 38 41 2
44 41 27 20 11 4
45 7 39 13 25 3
45 9 31 38 13 6
45 18 11 5 22 4
45 20 31 20 13 6
45 44 15 25 26 5
45 45 47 42 8 4
45 49 18 7 32 5
46 6 7 6 6 0
46 23 21 23 44 7
46 42 1 40 5 5
47 31 31 10 18 9
47 40 23 33 42 9
48 5 10 11 49 5
48 27 34 31 22 8
48 29 31 7 27 9
48 34 14 1 4 4
49 4 36 6 42 7
49 13 31 25 48 4
49 39 15 6 25 5
49 42 25 49 3 7
50 7 24 47 8 5
50 13 31 3 30 10
50 33 34 27 17 4
50 46 44 37 9 7
51 7 18 12 28 7
51 39 35 30 4 9
51 39 45 20 35 5
51 40 11 29 38 5
51 49 14 40 35 6
52 3 2 15 47 13
52 14 0 29 6 8
52 28 14 14 7 10
52 37 5 29 33 8
53 19 7 7 48 6
53 24 43 2 20 2
54 10 16 48 40 5
54 13 3 9 28 12
54 28 16 4 7 4
54 35 42 19 39 6
54 48 41 28 41 8
55 9 24 48 2 9
55 10 10 27 4 4
55 38 25 12 28 3
55 42 25 36 20 6
55 43 3 31 10 2
56 0 7 30 39 7
56 12 36 21 29 5
56 18 15 22 19 3
56 27 43 45 22 7
56 41 18 23 43 6
56 47 44 18 41 4
57 10 38 41 23 8
57 15 30 29 39 5
57 29 21 32 22 3
58 14 8 10 10 5
58 23 35 31 42 4
58 31 27 47 1 6
59 1 4 47 9 9
59 17 31 43 41 3
59 44 28 5 1 7
61 5 22 19 42 7
61 11 31 17 35 5
61 17 24 27 43 7
61 25 26 5 37 6
61 28 6 45 23 11
61 30 43 32 27 6
61 40 26 8 12 4
61 41 35 5 18 8
61 45 5 30 17 6
62 8 7 44 4 6
62 30 19 34 36 9
62 36 44 26 38 12
62 48 21 27 15 3
63 5 39 25 39 7
63 12 35 10 15 8
63 32 23 23 27 7
63 40 34 8 41 10
64 19 17 23 15 4
65 0 25 15 36 8
65 20 24 14 25 6
65 39 44 38 23 6
65 40 7 25 22 11
66 0 30 7 1 4
66 2 42 5 26 6
66 14 28 4 39 5
66 25 10 1 44 6
66 31 41 23 30 5
67 3 22 2 48 6
67 6 23 24 3 9
67 11 6 43 33 6
67 31 9 30 17 3
67 37 46 47 23 8
68 22 8 42 0 3
68 28 9 22 44 11
68 28 49 30 31 4
68 32 32 23 40 10
69 1 49 10 16 4
69 10 1 31 16 9
69 19 35 2 47 1
69 31 21 2 30 8
69 42 13 13 1 8
70 9 13 14 11 4
70 24 42 26 1 6
70 37 42 39 33 5
70 45 18 33 16 4
71 23 16 46 48 6
71 41 36 4 31 3
72 21 31 16 45 9
72 30 7 32 44 2
73 3 40 30 49 8
73 15 15 41 3 2
73 15 25 37 14 4
73 40 3 15 0 7
74 0 27 46 11 2
74 7 38 40 23 4
74 13 32 23 26 5
74 19 30 7 2 9
74 28 29 27 45 8
75 4 3 15 39 4
75 21 37 15 28 11
75 22 43 29 38 7
75 24 8 18 14 8
75 25 38 20 3 4
75 31 31 42 13 10
75 32 5 46 37 6
75 33 36 27 2 1
76 26 33 6 47 14
76 33 3 17 26 8
76 34 25 22 30 5
76 35 10 5 8 6
76 36 41 33 34 6
76 39 15 43 42 4
76 49 5 14 1 5
77 0 21 34 17 3
77 20 11 16 12 4
77 32 44 14 9 10
77 40 27 22 42 9
78 2 30 34 4 10
78 20 31 44 10 7
79 5 35 31 8 11
79 27 15 2 30 6
79 30 36 41 42 5
80 3 0 27 47 9
80 5 27 38 11 10
80 8 16 16 34 12
80 8 34 29 18 10
80 16 3 8 31 6
80 18 14 47 34 7
80 44 31 22 40 7
81 23 41 31 27 6
81 31 15 26 19 8
82 6 30 38 23 4
82 6 40 28 47 5
82 10 16 8 4 9
82 22 36 9 49 11
82 22 42 37 34 6
82 39 41 5 18 4
82 42 7 0 43 6
83 1 48 40 35 4
83 10 24 10 37 6
83 27 31 15 24 5
83 31 17 6 48 11
84 0 29 0 46 8
84 27 40 49 2 10
84 49 2 2 34 4
85 11 27 6 42 6
85 15 35 11 45 2
85 21 25 20 11 6
86 22 49 11 9 11
86 44 7 47 40 5
86 46 0 34 41 8
87 2 48 28 2 5
87 8 17 39 7 4
87 13 49 42 37 3
87 19 16 21 45 3
87 44 20 9 21 6
88 0 28 18 30 10
88 16 8 36 12 5
89 21 37 11 39 10
89 26 21 14 25 2
89 37 13 46 27 4
89 49 41 1 11 3
90 7 49 22 14 8
90 11 49 5 19 7
90 16 40 8 8 5
90 21 24 34 15 11
90 24 42 41 49 12
90 26 34 23 21 7
90 34 14 47 48 6
90 40 18 39 34 10
90 41 37 38 47 6
91 45 0 49 7 5
92 31 35 1 44 5
93 6 15 44 0 5
93 10 44 22 11 2
93 13 45 17 24 4
93 22 8 1 47 7
93 26 20 18 46 9
93 34 25 12 13 6
93 45 7 8 45 14
93 49 4 32 36 8
94 13 39 47 17 6
94 37 48 43 42 9
95 4 8 13 41 8
95 15 0 7 48 3
96 20 26 13 45 7
96 21 11 40 11 6
96 33 10 21 46 8
96 42 41 24 12 4
97 4 36 48 8 5
97 5 20 9 24 7
97 5 48 29 47 9
97 24 26 23 19 6
97 27 49 46 6 5
97 37 30 2 8 9
97 44 21 18 3 5
97 44 27 25 33 7
97 47 16 7 15 9
98 3 12 5 17 6
98 7 0 47 38 4
98 7 23 31 28 11
98 9 1 21 6 6
99 16 22 1 40 9
99 19 7 29 24 5
99 34 15 44 47 6
99 46 29 14 31 9
100 6 40 28 25 7
100 47 12 4 49 3
101 4 25 34 11 7
101 5 36 1 10 8
101 11 37 19 24 11
101 12 36 48 27 12
101 22 2 22 4 1
102 0 48 6 38 6
102 17 24 49 41 4
103 41 44 3 33 7
104 10 38 45 18 9
104 25 41 4 33 5
105 13 0 18 10 2
105 22 4 49 8 10
105 36 25 13 31 6
105 38 36 38 30 3
105 49 42 16 25 10
106 16 25 43 22 2
106 35 27 46 42 8
106 37 37 8 6 5
106 45 5 2 47 8
107 2 30 24 24 6
107 7 36 6 20 8
107 8 48 1 44 3
107 19 37 7 37 6
107 27 48 8 38 9
107 34 22 2 4 16
107 39 38 12 23 11
107 42 31 26 47 9
107 47 4 37 45 7
108 0 0 16 11 7
108 9 46 46 2 4
108 39 17 11 2 10
108 47 15 36 33 5
109 4 0 31 26 5
109 14 19 0 39 7
110 0 17 29 41 6
110 27 42 18 21 10
110 42 30 39 31 3
110 44 32 19 28 7
111 22 28 6 26 11
111 49 43 7 18 8
112 34 26 48 14 12
113 17 34 48 17 5
113 19 22 0 11 5
113 27 17 13 0 5
113 43 39 26 5 9
113 44 11 1 49 4
114 9 42 38 19 8
114 43 6 39 12 9
114 48 45 20 25 6
115 2 45 6 14 3
115 5 42 45 25 7
115 10 18 16 4 7
116 0 16 46 10 12
116 19 24 15 49 12
116 19 44 32 4 3
116 25 7 36 7 6
117 5 18 32 4 0
117 11 26 22 9 5
117 16 10 17 21 6
