1000 10 0 0 5
0 18 3 2 82 6
0 52 22 35 36 7
0 66 35 18 56 4
1 31 36 11 43 5
1 36 60 29 74 6
2 83 72 18 7 4
4 27 88 0 53 7
5 72 17 99 35 7
5 94 12 27 71 5
7 1 66 3 82 8
8 20 25 77 9 3
8 46 51 0 0 0
10 71 83 16 71 5
10 94 45 19 54 9
11 12 1 79 74 0
15 65 21 85 13 3
16 11 54 9 14 3
16 65 20 70 13 6
16 74 0 43 85 7
17 54 44 42 51 7
20 8 35 8 8 6
20 72 65 55 62 5
21 47 74 40 75 4
22 34 22 18 80 2
24 93 51 1 73 5
25 26 37 35 37 4
26 42 36 14 15 0
27 37 63 89 16 8
28 55 96 71 3 5
28 67 92 22 90 6
28 91 8 46 49 8
29 21 89 59 14 8
29 25 15 54 93 6
29 26 75 99 10 0
30 19 61 95 97 4
31 48 75 67 73 2
33 53 79 76 97 4
33 71 98 90 73 4
33 86 67 84 4 6
33 93 19 94 50 8
33 95 91 48 69 4
34 13 70 51 80 3
37 73 16 29 3 9
38 54 80 98 2 5
39 37 26 48 68 7
43 79 63 62 87 9
46 65 45 62 89 8
47 86 93 48 28 8
48 80 99 37 91 7
49 28 41 73 14 3
50 77 96 66 49 0
53 75 97 74 92 5
58 5 93 10 67 9
59 88 69 40 58 5
62 52 64 59 69 4
62 69 25 51 98 8
62 98 35 63 11 1
64 79 37 65 59 7
65 8 48 17 36 0
66 30 97 64 2 0
67 70 15 17 76 1
67 94 22 69 85 8
70 10 67 20 82 6
70 53 76 58 25 3
70 97 92 53 30 4
71 2 49 9 99 6
71 29 21 10 52 0
73 44 60 68 22 1
74 98 79 62 38 2
75 1 70 31 55 8
76 48 12 83 35 4
79 70 45 69 44 1
80 0 50 42 15 0
81 87 14 30 44 0
83 3 20 91 6 3
83 8 48 97 28 1
83 70 68 86 71 5
84 77 80 60 72 8
85 12 80 76 60 4
87 15 41 75 16 8
87 36 99 41 77 0
87 48 2 77 61 6
87 61 11 40 68 4
90 2 96 25 95 0
90 19 78 40 43 3
92 52 5 12 37 0
93 58 16 69 95 2
95 6 0 33 58 4
95 9 31 51 58 5
95 9 56 80 82 8
96 36 99 37 51 1
97 53 77 58 36 3
98 23 75 45 8 5
99 5 88 64 43 4
99 24 57 63 23 8
99 43 38 22 13 5
99 93 80 75 44 8
101 31 82 92 9 8
101 92 55 62 36 9
103 90 88 12 86 8
108 18 7 81 4 6
108 52 40 2 64 6
110 65 89 33 17 9
112 2 87 88 40 1
114 53 38 55 67 9
114 78 50 93 88 8
115 91 41 42 29 6
115 92 29 22 58 7
120 27 98 95 78 9
121 85 31 55 5 9
121 94 50 81 34 5
123 21 59 5 5 1
124 65 12 23 0 0
124 79 61 51 32 9
125 48 91 49 16 3
126 66 61 80 54 5
127 18 72 33 60 2
127 21 11 22 52 4
128 30 34 30 23 8
128 31 49 93 69 1
134 39 43 94 48 2
135 33 53 27 65 4
136 12 58 13 32 2
137 64 61 70 71 5
141 43 75 63 87 7
144 18 30 50 95 3
144 45 88 56 39 5
144 53 45 90 45 5
144 94 73 99 56 0
146 60 0 47 29 2
146 83 60 0 35 9
147 17 49 41 76 0
147 29 99 49 10 6
148 38 67 82 37 0
149 99 81 25 12 0
150 88 58 77 42 4
151 31 63 42 54 8
151 88 77 99 2 3
152 82 17 95 0 8
153 71 16 8 19 7
154 20 15 59 65 4
154 78 77 10 26 0
155 71 53 32 98 0
156 36 34 79 61 1
156 62 26 44 9 8
156 92 72 4 3 5
157 24 14 24 81 0
157 24 49 66 56 0
157 98 42 54 74 9
161 34 75 27 25 0
162 26 52 58 21 3
162 89 69 74 41 3
165 73 19 80 33 5
165 78 65 2 20 8
170 53 92 71 28 4
171 72 75 48 92 8
172 52 49 47 15 3
174 15 82 77 86 8
174 40 37 88 54 6
174 91 69 46 20 2
175 36 71 90 36 2
175 89 87 94 53 4
176 75 41 54 34 3
180 12 28 56 16 4
180 13 85 1 74 6
181 87 54 71 54 7
182 29 64 26 75 6
182 50 41 25 54 0
183 3 12 98 79 0
184 36 15 85 69 9
185 51 21 36 92 2
186 55 19 45 81 6
188 37 39 86 67 2
190 84 24 49 11 1
192 66 46 5 30 5
193 69 79 61 46 7
194 27 63 78 32 5
194 77 13 3 63 2
195 45 43 45 12 3
197 98 35 74 49 3
198 0 3 98 23 9
199 6 15 9 15 2
200 41 79 69 54 3
200 43 81 85 88 4
200 91 77 4 64 0
201 41 17 55 6 1
205 54 67 2 89 1
207 8 95 98 60 7
208 67 44 48 82 5
208 93 20 15 45 2
209 3 46 46 10 3
209 19 43 33 95 4
210 17 44 93 51 2
210 71 60 93 54 2
211 19 95 45 55 3
213 72 80 1 39 0
214 4 22 64 81 6
214 14 56 78 30 1
214 66 74 62 81 1
214 89 22 89 41 9
216 50 94 58 49 5
217 98 21 93 24 1
218 16 18 24 53 3
218 34 52 1 91 3
219 62 76 49 33 1
219 82 88 36 69 6
220 39 88 55 5 9
220 40 67 67 20 7
221 46 62 57 71 5
221 87 49 33 38 4
221 89 83 3 21 3
224 95 56 41 53 1
225 79 99 35 52 9
227 74 8 33 43 7
230 94 91 91 41 6
232 1 45 58 12 5
232 57 13 91 26 9
234 42 20 5 68 5
235 43 2 88 59 3
237 63 5 46 14 6
237 82 8 92 24 1
238 45 21 91 53 3
239 21 83 23 87 3
239 65 47 74 27 3
240 28 17 77 63 9
241 50 73 67 92 3
245 23 16 56 96 6
245 95 51 40 19 1
247 69 65 49 0 1
247 83 36 9 11 7
248 59 49 53 53 7
250 38 79 27 42 0
250 58 86 32 78 1
252 71 79 29 77 3
254 51 1 42 2 0
254 84 74 8 9 7
254 89 22 82 20 6
255 98 50 44 82 7
256 55 14 49 65 6
256 95 77 50 77 0
257 0 1 73 98 9
257 26 11 34 7 9
257 50 12 68 49 6
257 61 42 24 42 2
258 59 67 25 62 4
259 23 70 63 66 6
260 19 25 25 31 6
260 39 42 13 35 5
260 57 68 87 1 0
262 31 13 47 77 2
263 44 1 30 93 9
263 91 87 68 60 7
264 59 39 88 89 0
265 11 10 0 88 5
265 21 88 23 36 9
266 20 87 48 64 2
269 87 38 3 74 8
272 88 43 18 19 2
275 34 31 50 57 4
275 43 5 66 39 5
276 12 55 65 80 4
277 25 7 92 21 7
277 26 54 49 31 5
277 37 13 21 25 9
277 72 52 46 84 5
278 85 66 47 91 5
281 2 58 50 65 2
282 27 72 34 58 6
285 42 99 49 13 4
286 85 42 5 64 6
288 75 15 94 28 1
288 89 17 52 57 8
289 73 97 92 75 6
289 78 8 18 37 4
289 80 36 32 39 1
290 4 22 58 48 4
290 6 97 24 76 5
290 40 93 12 72 9
291 34 5 23 54 9
291 57 98 75 82 9
292 98 26 45 11 4
293 97 80 3 61 4
295 74 24 72 19 5
297 85 3 42 68 9
302 38 65 96 31 4
303 36 28 42 36 2
303 70 84 31 54 1
303 80 10 27 14 0
303 84 90 83 44 1
305 37 52 33 31 8
305 81 92 36 73 4
306 72 4 46 25 5
306 76 38 43 90 0
306 83 34 30 29 8
309 66 63 30 69 1
309 91 14 62 2 7
311 66 92 71 43 1
312 15 45 77 46 6
312 96 78 45 3 4
313 83 94 27 84 3
316 77 34 18 57 1
316 89 76 96 66 7
317 1 36 20 49 8
317 61 10 86 41 3
318 13 93 71 27 8
319 86 84 89 62 7
320 25 81 86 87 5
322 34 52 87 63 1
322 96 45 71 37 0
323 14 28 1 83 6
323 57 23 7 96 7
323 90 95 20 55 3
324 90 10 32 1 1
325 28 44 82 61 1
328 59 63 30 23 1
329 75 99 75 72 7
329 87 80 90 66 9
330 60 5 39 42 4
330 70 0 61 59 0
334 24 91 26 31 6
334 35 16 69 72 4
337 17 64 60 65 6
337 44 44 87 82 6
337 86 69 96 6 9
338 97 96 79 53 4
339 3 78 84 61 4
339 8 51 76 74 6
342 7 74 50 29 2
344 58 58 53 84 7
344 90 30 17 71 3
345 75 8 81 65 5
346 27 36 32 14 6
346 85 5 63 24 8
348 3 70 4 28 4
348 5 93 8 20 2
348 72 23 51 89 6
348 97 92 31 15 0
349 12 38 7 80 3
350 12 95 32 7 1
350 94 53 45 92 9
351 0 5 66 25 4
352 21 80 2 4 6
353 40 25 59 86 0
353 48 5 55 5 6
354 90 28 55 33 0
354 97 21 31 82 2
355 67 27 2 28 6
357 74 38 78 87 2
361 39 9 82 87 9
361 94 0 33 14 1
363 76 74 87 62 2
365 64 47 56 84 1
366 36 63 31 71 9
367 14 56 80 94 7
367 85 1 42 9 8
368 4 85 63 35 8
368 16 23 50 71 5
368 35 13 67 69 1
370 46 84 63 86 7
370 77 52 8 37 0
371 94 93 96 46 7
372 23 88 52 95 6
372 40 76 53 5 9
372 49 80 73 42 0
373 95 28 40 66 6
375 73 88 23 87 3
375 97 12 24 92 3
376 25 42 95 66 8
377 66 60 92 45 0
378 66 62 61 26 8
378 85 52 56 77 4
379 39 9 60 42 3
380 56 76 93 82 4
380 89 83 56 36 3
381 3 86 21 90 5
381 86 45 48 42 8
383 11 79 48 24 2
383 34 35 17 39 6
385 32 71 18 13 3
388 60 44 35 99 8
389 11 56 31 2 5
389 22 59 83 25 2
393 15 75 53 59 4
393 76 15 53 78 3
394 3 25 62 68 8
394 9 91 45 43 1
394 35 57 90 87 0
397 24 48 77 92 2
397 93 91 53 56 2
398 18 58 98 54 9
398 91 93 46 64 0
399 34 0 24 62 6
400 9 21 26 26 9
401 70 10 60 26 8
401 80 35 22 63 7
405 49 68 21 59 8
405 73 75 2 21 3
406 24 86 65 10 3
406 66 31 21 32 3
406 86 21 55 91 2
407 21 32 2 77 1
407 34 59 43 17 3
407 52 36 7 12 3
407 89 58 81 20 0
407 91 46 31 67 2
407 96 76 59 10 7
408 70 45 79 42 1
409 61 6 1 52 7
410 15 19 39 90 8
410 53 40 74 27 3
411 73 39 47 71 1
413 74 67 37 36 0
414 45 53 4 45 8
414 46 23 16 16 5
417 37 54 67 2 8
417 97 16 32 70 9
417 98 55 55 93 0
418 15 65 77 69 5
418 77 8 12 63 5
419 65 45 43 58 7
419 84 85 83 16 5
420 73 81 61 36 7
422 28 96 83 63 3
423 27 87 56 43 9
423 73 21 62 48 0
426 40 45 72 27 7
428 4 96 54 94 8
428 29 41 8 60 3
429 31 39 22 69 4
431 87 27 83 25 5
433 70 60 35 70 8
434 77 17 68 91 8
434 79 70 69 79 9
434 87 48 27 14 6
436 54 37 24 6 6
437 35 68 20 9 5
437 84 96 20 85 1
438 6 24 54 62 6
438 50 95 7 9 4
441 18 7 88 19 2
441 18 41 53 71 4
441 84 85 26 76 9
442 29 73 44 24 4
442 69 85 48 99 8
443 1 93 91 13 7
443 58 53 53 61 7
446 10 10 15 82 5
447 83 50 14 6 1
448 80 22 47 29 0
448 96 18 18 29 1
448 99 34 24 85 2
451 6 54 88 49 5
451 39 73 1 11 7
452 41 14 1 73 1
452 94 96 88 54 7
453 55 3 0 62 2
454 93 80 84 47 0
455 34 68 73 42 2
456 77 42 17 75 2
456 90 65 83 12 0
457 54 84 14 86 9
458 54 41 15 47 4
461 43 88 46 27 1
462 10 96 75 65 8
462 15 73 62 61 2
462 76 10 17 79 0
463 75 33 3 69 8
464 84 8 94 39 9
464 98 64 36 10 7
465 67 36 56 22 3
466 89 59 92 12 3
467 14 39 65 94 8
468 8 83 59 25 6
469 17 91 88 1 6
470 59 21 70 82 1
470 61 34 60 56 3
471 20 1 27 95 4
471 20 43 85 24 7
475 63 93 23 76 9
477 13 91 27 6 6
477 20 55 74 3 7
478 62 67 75 80 4
480 22 40 7 34 1
480 27 43 38 47 2
480 58 45 37 23 6
481 32 60 44 60 7
483 25 54 19 52 7
485 34 86 7 1 1
485 38 14 38 87 7
485 47 31 3 86 6
485 65 59 26 62 7
487 4 50 93 15 6
487 26 88 59 6 0
490 43 93 24 29 4
490 68 64 54 12 0
491 20 42 86 39 7
492 2 86 7 58 1
492 15 36 35 68 8
493 33 51 58 13 6
493 95 13 14 96 8
493 99 78 96 86 1
494 44 43 87 54 6
495 98 58 51 22 1
497 4 72 30 30 4
497 51 6 5 70 1
497 55 65 89 69 0
498 23 38 10 51 3
499 58 43 54 1 1
501 86 36 83 44 5
502 29 3 26 1 2
502 53 57 65 39 1
503 41 28 10 35 0
505 81 21 18 84 0
506 63 9 86 58 1
507 68 68 37 52 3
508 16 8 88 86 6
510 97 86 61 3 1
511 5 91 27 71 4
512 91 12 8 94 7
513 12 15 42 76 7
513 38 56 39 50 3
513 44 19 44 60 3
513 59 15 75 26 1
514 60 8 25 50 1
514 74 14 0 46 6
514 98 23 29 32 2
515 92 18 85 19 3
516 34 75 68 4 8
516 99 19 78 99 9
517 18 58 34 7 7
518 64 79 99 54 0
520 16 60 80 47 8
522 8 76 16 70 5
522 14 72 12 58 8
522 17 65 71 48 7
526 52 4 84 91 4
526 86 91 18 88 8
527 69 24 88 17 7
528 37 23 24 18 8
529 46 64 93 64 2
531 47 77 60 86 2
533 82 14 13 4 7
534 21 5 99 28 2
537 64 3 24 79 6
537 66 49 8 81 8
538 2 32 25 80 9
538 83 15 49 74 0
541 20 34 96 93 5
541 39 82 7 91 5
541 86 52 14 24 9
542 62 29 58 28 3
545 56 0 72 3 0
545 79 59 38 61 3
546 37 70 64 61 0
547 45 1 80 96 6
548 76 93 36 2 1
548 93 5 10 87 9
551 70 62 29 82 5
552 62 27 55 25 7
552 97 1 14 78 4
553 6 94 48 39 7
553 54 14 60 12 1
553 94 14 5 97 7
554 87 4 61 57 8
556 17 44 75 50 3
558 68 10 72 97 4
559 96 0 33 91 1
560 40 91 17 28 9
560 77 1 6 69 7
564 13 70 58 4 4
566 66 53 13 42 7
567 62 34 78 88 1
567 80 36 57 93 4
568 60 32 43 4 8
568 75 79 72 24 6
569 11 47 7 82 2
569 17 61 17 41 6
569 36 46 75 51 4
569 37 84 19 60 0
570 12 18 29 97 0
570 55 70 37 64 6
571 91 31 81 76 2
573 93 8 31 84 9
574 29 4 13 31 4
575 87 31 68 83 7
576 10 13 36 58 2
577 40 75 14 90 5
580 61 76 62 39 9
581 67 39 40 42 8
583 79 16 96 63 4
584 33 29 96 25 8
585 70 78 39 95 2
585 88 36 9 89 9
586 32 38 86 44 7
